,,high,neutral,low,average
ADAMTS2,ENSG00000087116.9,8.0,90.0,24.0,-0.027680327868852467
ADAMTS20,ENSG00000173157.12,13.0,95.0,14.0,0.05319672131147543
ADAMTS3,ENSG00000156140.4,13.0,91.0,18.0,0.06917213114754096
ADAMTS4,ENSG00000158859.8,85.0,36.0,1.0,0.5255491803278689
ADAMTS5,ENSG00000154736.5,11.0,91.0,20.0,0.0019590163934426323
ADAMTS6,ENSG00000049192.10,7.0,83.0,32.0,-0.07940983606557381
ADAMTS7,ENSG00000136378.10,5.0,94.0,23.0,-0.07234426229508195
ADAMTS8,ENSG00000134917.9,2.0,73.0,47.0,-0.15327049180327865
ADAMTS9,ENSG00000163638.9,7.0,89.0,26.0,-0.029549180327868872
ADAMTSL1,ENSG00000178031.11,7.0,82.0,33.0,-0.04574590163934427
ADAMTSL2,ENSG00000197859.5,5.0,93.0,24.0,-0.06783606557377045
ADAMTSL3,ENSG00000156218.8,10.0,89.0,23.0,-0.04639344262295083
ADAMTSL4,ENSG00000143382.9,81.0,41.0,0.0,0.5675409836065572
ADAMTSL5,ENSG00000185761.6,4.0,84.0,34.0,-0.11211475409836069
ADAP1,ENSG00000105963.9,22.0,87.0,13.0,0.1119180327868853
ADAP2,ENSG00000184060.6,12.0,72.0,38.0,-0.05092622950819671
ADAR,ENSG00000160710.11,85.0,37.0,0.0,0.5770983606557376
ADARB1,ENSG00000197381.11,14.0,97.0,11.0,0.054795081967213125
ADARB2,ENSG00000185736.11,31.0,78.0,13.0,0.22691803278688527
ADAT1,ENSG00000065457.6,7.0,56.0,59.0,-0.19438524590163933
ADAT2,ENSG00000189007.11,14.0,85.0,23.0,0.031008196721311478
ADAT3,ENSG00000213638.4,4.0,83.0,35.0,-0.11104098360655738
ADC,ENSG00000142920.12,5.0,85.0,32.0,-0.08067213114754097
ADCK1,ENSG00000063761.11,3.0,85.0,34.0,-0.07279508196721313
ADCK2,ENSG00000133597.5,20.0,91.0,11.0,0.10474590163934426
ADCK3,ENSG00000163050.11,80.0,40.0,2.0,0.528983606557377
ADCK4,ENSG00000123815.7,13.0,92.0,17.0,0.06478688524590162
ADCK5,ENSG00000173137.7,57.0,58.0,7.0,0.5142622950819669
ADCY1,ENSG00000164742.10,23.0,93.0,6.0,0.12355737704918032
ADCY10,ENSG00000143199.13,83.0,38.0,1.0,0.5262131147540984
ADCY10P1,ENSG00000161912.13,20.0,89.0,13.0,0.11724590163934426
ADCY2,ENSG00000078295.11,25.0,92.0,5.0,0.1743934426229507
ADCY3,ENSG00000138031.10,11.0,96.0,15.0,-0.013655737704918026
ADCY4,ENSG00000129467.9,12.0,84.0,26.0,0.026254098360655745
ADCY5,ENSG00000173175.10,19.0,96.0,7.0,0.09943442622950817
ADCY6,ENSG00000174233.7,8.0,97.0,17.0,-0.01817213114754098
ADCY7,ENSG00000121281.8,15.0,60.0,47.0,-0.08763934426229507
ADCY8,ENSG00000155897.5,66.0,50.0,6.0,0.6586967213114753
ADCY9,ENSG00000162104.5,32.0,81.0,9.0,0.1860737704918033
ADCYAP1,ENSG00000141433.8,12.0,84.0,26.0,0.006106557377049168
ADCYAP1R1,ENSG00000078549.10,27.0,89.0,6.0,0.1359508196721312
ADD1,ENSG00000087274.12,3.0,83.0,36.0,-0.10751639344262293
ADD2,ENSG00000075340.17,10.0,102.0,10.0,0.040204918032786904
ADD3,ENSG00000148700.9,3.0,98.0,21.0,-0.048811475409836075
ADGB,ENSG00000118492.12,18.0,83.0,21.0,0.054147540983606565
ADH1A,ENSG00000187758.3,5.0,98.0,19.0,-0.02252459016393443
ADH1B,ENSG00000196616.8,5.0,98.0,19.0,-0.0225
ADH1C,ENSG00000248144.1,5.0,98.0,19.0,-0.0225
ADH4,ENSG00000198099.4,5.0,98.0,19.0,-0.023008196721311474
ADH5,ENSG00000197894.6,5.0,98.0,19.0,-0.024999999999999998
ADH6,ENSG00000172955.13,5.0,98.0,19.0,-0.01916393442622951
ADH7,ENSG00000196344.7,5.0,98.0,19.0,-0.0225
ADHFE1,ENSG00000147576.11,57.0,58.0,7.0,0.46053278688524607
ADI1,ENSG00000182551.9,17.0,92.0,13.0,0.04098360655737704
ADIG,ENSG00000182035.7,34.0,84.0,4.0,0.17887704918032787
ADIPOQ,ENSG00000181092.5,26.0,86.0,10.0,0.11944262295081969
ADIPOR1,ENSG00000159346.8,78.0,44.0,0.0,0.5316147540983606
ADIPOR2,ENSG00000006831.9,18.0,89.0,15.0,0.1487213114754097
ADIRF,ENSG00000148671.9,5.0,96.0,21.0,-0.04205737704918031
ADK,ENSG00000156110.9,8.0,90.0,24.0,-0.02770491803278688
ADM,ENSG00000148926.5,9.0,83.0,30.0,-0.057393442622950805
ADM2,ENSG00000128165.7,7.0,78.0,37.0,-0.09431147540983606
ADM5,ENSG00000224420.3,14.0,90.0,18.0,0.05090983606557378
ADNP,ENSG00000101126.11,40.0,80.0,2.0,0.22966393442622945
ADNP2,ENSG00000101544.4,10.0,75.0,37.0,-0.06745901639344264
ADO,ENSG00000181915.3,9.0,94.0,19.0,0.024557377049180335
ADORA1,ENSG00000163485.11,78.0,44.0,0.0,0.5313934426229507
